职位名称,职位标签,工作地区,薪资,公司名称,公司规模,工作类型
矿山副总经理（西藏拉萨）,"['3-4年', '大专', '采矿', '地质', '日常检查', '矿山', '矿山生产', '矿山生产管理', '包吃', '包住', '五险', '年假']",拉萨,2-2.5万,安徽华西稀有金属材料有限公司,50-150人,原材料和加工
地质技术员,"['5-7年', '本科', '测试', 'cad', '电脑', 'gis', '统计分析', '制备', '地质学', '数据处理软件', '地图制图', '矿物学', '周末双休', '五险一金', '定期体检', '带薪年假', '员工旅游', '年终奖金', '餐饮补贴']",郴州,1-1.5万·13薪,深圳市大为创新科技股份有限公司,150-500人,多元化业务集团公司
地质工程师,"['1年', '本科', '地质工程', '地质勘查', '地质资料', '矿产资源', '五险一金', '定期体检', '包吃包住', '节日福利', '生日津贴', '年终奖金']",凉山,1.2-2万,豫光（成都）科技有限公司,少于50人,贸易/进出口
造价工程师（矿山井建方向）,"['5-7年', '本科', '采矿', '选矿', '地下矿山造价', '五险一金', '餐饮补贴', '定期体检', '交通补贴', '专业培训', '绩效奖金', '年终奖金', '股票期权']",新余,1-1.5万,江西赣锋锂业集团股份有限公司,1000-5000人,石油/化工/矿产/地质
矿山副总经理（西藏拉萨）,"['3-4年', '大专', '采矿', '地质', '日常检查', '矿山', '矿山生产', '矿山生产管理', '包吃', '包住', '五险', '年假']",拉萨,2-2.5万,安徽华西稀有金属材料有限公司,50-150人,原材料和加工
选矿主任,"['3-4年', '大专', '五险一金', '定期体检', '专业培训', '餐饮补贴', '年终奖金']",北海,8千-1.2万·13薪,广西南玻石英材料有限公司,,原材料和加工
矿山设计（包括但不限于初步设计）,"['3-4年', '本科', '施工图设计', '招投标', '设计方案', '现场调研', '采矿工程', '设计项目', '安全设施设计', '投标文档', '矿山设计', '矿物工程', '绩效奖金', '年终奖金', '周末双休', '高温补贴', '带薪年假', '交通补贴', '***宿舍', '五险']",武汉·武昌区,8千-1.6万,中技国际工程有限公司,150-500人,建筑/建材/工程
地质工程师（集团总部）,"['3-4年', '本科', '前期勘察', '制图软件', '设计院', '储量报告', '矿山地质', '探矿计划', '五险一金', '专业培训', '通讯补贴', '年终奖金', '餐饮补贴', '绩效奖金', '交通补贴', '定期体检', '股票期权']",新余,1-2万,江西赣锋锂业集团股份有限公司,1000-5000人,石油/化工/矿产/地质
销售经理,"['1年', '本科', '销售', '市场', '市场营销', '市场开拓', '项目运作', '销售产品', '市场渠道开拓', '五险一金', '绩效奖金', '年终奖金', '专业培训', '节日福利', '交通补贴', '高额提成']",武汉·东湖新技术产业开发区,8千-1.6万,湖北海震科创技术有限公司,少于50人,电子技术/半导体/集成电路
矿业类 英文学术期刊助理编辑（光谷）,"['无需经验', '硕士', '采矿工程', '石油工程', '矿物加工', '油气储运', '英语', '双休', '绩效奖金', '定期体检', '带薪年假', '国假双休', '节日福利', '活动经费', '儿童福利', '六险一金', '出国机会']",武汉·洪山区,1.1-1.6万,曼迪匹艾（武汉）科技服务有限公司,1000-5000人,学术/科研
矿山通风技术员,"['无需经验', '大专', '调试设备', '通风', '事故调查', '通风系统', '煤矿', '采矿技术', '风机', '通风设备', '员工食堂', '住宿', '五险一金', '绩效奖金', '节日福利', '专业培训', '餐饮补贴', '年薪']",黔南,5-7千,贵州胜威福全化工有限公司,500-1000人,石油/化工/矿产/地质
集控操作员,"['无需经验', '本科', '五险一金', '食宿免费', '外出培训', '带薪休假', '健康体检', '节假福利等', '项目管理', '采矿', '材料', '矿山', '方案设计', '培训', '电气', '视频类软件', '设计']",文山,1.2-1.5万,云南端田矿业科技开发有限公司,50-150人,石油/化工/矿产/地质
矿长,"['5-7年', '本科', '经营管理', '安全生产', '应急救援预案', '治安保卫', '物资供应', '矿山生产', '中期规划', '指标体系', '安全管理', '培训', '五险一金', '绩效奖金', '弹性工作', '定期体检', '员工旅游', '专业培训', '团队活动', '上市公司']",黔南,2.8-4.2万,深圳市芭田生态工程股份有限公司,1000-5000人,农/林/牧/渔
地质工程师,"['3-4年', '大专', '五险一金', '提供住宿']",乐山,15-20万/年,福华通达化学股份公司,1000-5000人,石油/化工/矿产/地质
矿业类 英文学术期刊助理编辑（汉口）,"['无需经验', '硕士', '采矿工程', '石油工程', '矿物加工工程', '油气储运工程', '编辑', '英语', '双休', '绩效奖金', '定期体检', '带薪年假', '国假双休', '节日福利', '活动经费', '儿童福利', '六险一金', '综合补贴']",武汉·硚口区,1.1-1.6万,曼迪匹艾（武汉）科技服务有限公司,1000-5000人,学术/科研
集控操作员,"['无需经验', '本科', '五险一金', '食宿免费', '外出培训', '带薪休假', '健康体检', '节假福利等', '项目管理', '采矿', '材料', '矿山', '方案设计', '培训', '电气', '视频类软件', '设计']",文山,1.2-1.5万,云南端田矿业科技开发有限公司,50-150人,石油/化工/矿产/地质
矿山项目经理,"['10年以上', '本科', '矿山项目经理', '选矿承包', '选矿', '通讯补贴', '出国机会', '绩效奖金', '定期体检', '包吃包住', '探亲路费', '带薪休假']",西安,20-30万/年,西安天宙矿业科技集团有限公司,500-1000人,石油/化工/矿产/地质
选矿工程师,"['5-7年', '本科', '五险一金', '交通补贴', '餐饮补贴', '通讯补贴', '年终奖金', '绩效奖金', '定期体检']",昆明·盘龙区,1.2-2万,中国恩菲工程技术有限公司成都分公司,150-500人,石油/化工/矿产/地质
生产经理（煤矿）,"['5-7年', '煤矿生产']",西安·莲湖区,1.5-2万,深圳通用能源控股有限公司,50-150人,房地产
集控操作员,"['无需经验', '本科', '五险一金', '食宿免费', '外出培训', '带薪休假', '健康体检', '节假福利等', '项目管理', '采矿', '材料', '矿山', '方案设计', '培训', '电气', '视频类软件', '设计']",文山,1.2-1.5万,云南端田矿业科技开发有限公司,50-150人,石油/化工/矿产/地质
地质工程师,"['1年', '本科', '地质工程师', '五险一金', '补充医疗保险', '餐饮补贴', '绩效奖金', '年终奖金', '定期体检', '法定节假日', '高温补贴', '免费健身', '生态食堂']",武汉·江岸区,10-20万/年,长江勘测规划设计研究有限责任公司,5000-10000人,电气/电力/水利
地质导向工程师,"['本科', '地质导向', 'Petrel', '随钻', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检', '五天八小时']",武汉,1.2-2万,武汉时代地智科技股份有限公司,50-150人,计算机软件
总工程师（矿业）40-60万/年,"['5-7年', '本科', '办公软件', '管理', '产品开发', '技术管理', '工艺', '业务培训', '工艺技术', '技术改造', '安全环保', '试验大纲', '五险一金', '员工旅游', '餐饮补贴', '通讯补贴', '年终奖金', '绩效奖金', '定期体检', '补充意外险', '员工下午茶']",黔南,4-6万,深圳杰夫实业集团有限公司,150-500人,金融/投资/证券
集控操作员,"['无需经验', '本科', '五险一金', '食宿免费', '外出培训', '带薪休假', '健康体检', '节假福利等', '项目管理', '采矿', '材料', '矿山', '方案设计', '培训', '电气', '视频类软件', '设计']",文山,1.2-1.5万,云南端田矿业科技开发有限公司,50-150人,石油/化工/矿产/地质
地质勘察工程师,"['3-4年', '本科', '交通补贴', '绩效奖金', '定期体检', '专业培训', '年终奖金', '生日节日慰问', '五险二金', '员工疗休养', '通讯补贴', '餐饮补贴']",铜陵,5-7千,铜陵有色设计研究院有限责任公司合肥分公司,50-150人,采掘业/冶炼
地质导向工程师,"['1年', '本科', '地质导向', '地质', '石油', '五险一金', '员工旅游', '交通补贴', '专业培训', '年终奖金', '定期体检', '工作补贴', '待命补贴', '路途补贴', '商业保险']",上海·长宁区,15-30万/年,武汉时代地智科技股份有限公司,50-150人,计算机软件
矿长,"['5-7年', '大专']",杭州·富阳区,1-1.5万,杭州必润新材料有限公司,150-500人,多元化业务集团公司
项目生产技术人员,"['3-4年', '本科', '采矿', '项目现场管理', '现场运营', '绩效奖金', '五险一金', '交通补贴', '通讯补贴', '定期体检', '补充医疗保险', '专业培训', '年终奖金', '企业年金']",天津·滨海新区,8千-1.5万,中交海洋建设开发有限公司,150-500人,交通/运输/物流
煤矿项目经理,"['3-4年', '大专', '项目实施', '煤矿']",西安·莲湖区,1.5-2万,深圳通用能源控股有限公司,50-150人,房地产
石油地质工程师,"['3-4年', '本科', '地质', '石油地质', '五险一金', '员工旅游', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '定期体检', '节日津贴', '交通补贴', '年度体检']",北京·朝阳区,1.5-2.5万,武汉时代地智科技股份有限公司,50-150人,计算机软件
地质工程师,"['5-7年', '大专', '维护保养', '图纸', '分析报告', '台账', '水文地质资料', '治理', '地质', '勘探', '五险一金', '通讯补贴', '餐饮补贴', '交通补贴', '员工旅游', '专业培训', '绩效奖金', '免费班车', '年终奖金', '定期体检']",孝感,4-6千,湖北省黄麦岭控股集团有限公司,1000-5000人,原材料和加工
矿产检验工程师,"['1年', '大专', '航海', '矿产', '检验', '采矿', '测绘', '质检', '实验室技术', '五险一金', '员工旅游', '定期体检', '节日福利', '高温补贴', '专业培训', '年终奖金']",成都,5-8千,SGS通标标准技术服务有限公司四川分公司,50-150人,检测，认证
矿山测量工程师（常驻老挝）,"['5-7年', '大专', '测量技术', '矿山', '五险一金', '补充医疗保险', '出国机会', '年终奖金', '定期体检', '绩效奖金']",北京·海淀区,2-3万,中农国际钾盐开发有限公司,1000-5000人,石油/化工/矿产/地质
矿业权评估（助理）工程师,"['2年', '本科', '矿权', '评估', '评估报告', '矿业权', '采矿权', '五险一金', '餐饮补贴', '专业培训', '绩效奖金', '定期体检', '带薪年假', '双休', '法定假日', '过节慰问']",武汉·武昌区,7.2-12万/年,湖北天地源勘查设计有限公司,50-150人,石油/化工/矿产/地质
矿山安全工程师,"['5-7年', '本科', '项目管理', '安全', '应急预案', '评估', '安全生产管理', '安全操作规程', '事故调查', '采矿', '安全技术服务', '处理安全隐患', '绩效奖金', '定期体检', '专业培训', '上市公司', '年终奖金', '五险', '提供食宿']",黔南,1-1.5万,深圳市芭田生态工程股份有限公司,1000-5000人,农/林/牧/渔
地质矿产工程师,"['5-7年', '大专', '地质矿产', '绩效奖金']",广州·越秀区,5-8千,江西懋华实业有限公司,少于50人,原材料和加工
